Feature,CompGroup.C.,BaseGroup.B.,NumSamplesInC,NumSamplesInB,SignedFC,Tstatistic,Parameter,Pvalue,X95.Conf.Int.1,X95.Conf.Int.2,MeanC,MeanB,NullValue.DifferenceInMeans,Alternative,Method,FDR
1,216695_s_at|TNKS,Moderate,Incipient,8,7,-1.61616090422592,-5.80652489982989,12.9884620333121,6.13042543033809e-05,-0.95027118149012,-0.434870497081308,4.216765875,4.90933671428571,0,two.sided,Welch Two Sample t-test,0.999942533103159
2,212034_s_at|EXOC7,Moderate,Incipient,8,7,-1.51699326301287,-5.7175195828096,11.8920156466847,9.98457065874197e-05,-0.830554462942805,-0.371874894200051,5.87119775,6.47241242857143,0,two.sided,Welch Two Sample t-test,0.999942533103159
3,230501_at|NDUFA10,Moderate,Incipient,8,7,1.40490257611398,5.8958779196683,10.2280528476713,0.000138848351780887,0.305672915827208,0.67526726274422,2.199517375,1.70904728571429,0,two.sided,Welch Two Sample t-test,0.999942533103159
4,226294_x_at|FAM91A1,Moderate,Incipient,8,7,1.39165054324004,4.61368825625936,12.9492498655476,0.000490364310178901,0.253446873128335,0.700147091157379,6.194509125,5.71771214285714,0,two.sided,Welch Two Sample t-test,0.999942533103159
5,210663_s_at|KYNU,Moderate,Incipient,8,7,1.27360476873167,4.42797126214804,12.9983249621779,0.000681864118178695,0.178681530390722,0.519153755323563,3.2246975,2.87577985714286,0,two.sided,Welch Two Sample t-test,0.999942533103159
6,232316_at|SAMD15,Moderate,Incipient,8,7,1.31589410341842,4.46512600384023,12.5332374778397,0.000695175873539831,0.203697165222967,0.588389620491319,2.59137225,2.19532885714286,0,two.sided,Welch Two Sample t-test,0.999942533103159
7,1569352_at|FNIP2,Moderate,Incipient,8,7,1.23823868265485,4.52977280928771,11.9608527707972,0.000695634188533855,0.159948907891178,0.456629962073107,2.828258450125,2.51996901514286,0,two.sided,Welch Two Sample t-test,0.999942533103159
8,237393_at|TPBGL,Moderate,Incipient,8,7,1.38958290484886,4.37596260347052,12.5025935344147,0.000820743421270378,0.239369827832259,0.709933993596313,3.227048625,2.75239671428571,0,two.sided,Welch Two Sample t-test,0.999942533103159
9,200793_s_at|ACO2,Moderate,Incipient,8,7,-1.53259935870896,-4.32487804853901,12.9694331271016,0.000828771050662953,-0.923749767757792,-0.308211446527922,3.53760725,4.15358785714286,0,two.sided,Welch Two Sample t-test,0.999942533103159
10,215174_at|FMO6P,Moderate,Incipient,8,7,1.22766752970232,4.24892828776399,12.9411136388945,0.000958432659953658,0.145389731767028,0.446450089661543,1.954787625,1.65886771428571,0,two.sided,Welch Two Sample t-test,0.999942533103159
